relative_path,size_bytes,sha256
audit/ENVIRONMENT_CO_TT_R1F_STD.json,498,235a5f3759d0b7e304fcbea70da460feb1c0b6a8d1a43d02d9454accc359c143
audit/EVALUATION_DECISION_AUDIT_CO_TT_R1F_STD.json,2097,29e8e8709c19e1bf33dd57b43cc37cebb382bbb3592dfdcec213bf9bace82dec
audit/MODEL_RELOAD_EQUIVALENCE_CO_TT_R1F_STD.json,347,f2c16166ecbaf172382d74c1794b259cedbb4d3e7563f05f652fa25152687ded
audit/PRE_POST_TEST_HASH_AUDIT_CO_TT_R1F_STD.json,1466,b77f867d92aff2194a6998facb4371397ff7cd2cd99d81a12e0147c9eb61bd7c
audit/PRE_TEST_GATE_CO_TT_R1F_STD.json,1677,6da514d87aef31fd8c837d757f6336afbf5fe4731a5f24e9c958211d012553a9
audit/PRETRAINING_CHECKS_CO_TT_R1F_STD.csv,508,20863ace419d6457f8cf0f38beb6e68bc60026f431422f629c69b25947ad9c26
audit/TARGET_ACCESS_AUDIT_PRE_TEST_CO_TT_R1F_STD.json,2208,bf7d32380faa6bcf298be8fb45c4e69c75d37165a010597a2be133eb5c2cb1b3
audit/TEST_ACCESS_AUDIT_CO_TT_R1F_STD.json,2070,9f731a7f2a9ec2b29d5b83b8ad93ae67fdc0d040cd69f87b78d545884c0b7495
audit/TEST_ACCESS_LEDGER_CO_TT_R1F_STD.json,3575,ecb423fb88d36fb91412b4989f733e29809cccfcb0d6bc8cf7b756a282615627
audit/TT_LINEAR_UNIT_TESTS_CO_TT_R1F_STD.csv,432,f91207728f2f39ae4199fe69e569eeebea1bc40aa81ed96ac9c58b8fb81658db
audit/UPSTREAM_DERIVATION_CONTRACT_CO_TT_R1F_STD.json,934,2749c77a8a6339f39c9c6195382e23e048deb6e47cf29b8fa31ce2d6eab1afd4
configs/BEST_CONFIG_CO_INTERP_R5.json,3127,984c0a59463a596d8ac085858557e06ee95b6e63dd10fe6973d99b2347742292
configs/EXPERIMENT_SCOPE_CO_TT_R1F_STD.json,881,686e29b5c66b95ee95fa3164e55f9cb9fd946ea8e339228138075b03bf25c50e
configs/FINAL_REPRESENTATIVE_SEED_CO_R5.json,407,b84ee2e995d5f43c1a85f2bbf10afb523d698fa2d2be17e8bc640bafc2080f07
configs/FINAL_TRAINING_POLICY_CO_INTERP_R5.json,651,5f74ab514e374ba2d44cb429d03c32bebc4e1803ed11b5e4dd750cfe5913bc7a
configs/FROZEN_CONFIG_MANIFEST_CO_INTERP_R5.json,5352,80178261d1f4e4306783989ed1ec3bf31b825cff080536c8b6036823c0820756
configs/MODEL_PROFILE_CO_TT_PINN_INTERP_R1F_STD.json,1810,1667643d986168a2bbf5051ff382d2ca65e302d2d6558a9981e148b257ece846
configs/TT_ARCHITECTURE_CONTRACT_CO_TT_R1F_STD.json,3352,b16d094f604dfb6b287b4328389e54de002c353944c34712c76cddd6643a7f72
figures/FINAL-01_training_history.png,81818,668b61a068fd8f5bffe28c33bb719b082f64ab7b9b4898fb0f55c09f420056af
figures/FINAL-01_training_history.svg,42431,df948d5110f3fd5e503abf7ecf6029746872f43f6895d278b3b77e467a712283
figures/FINAL-02_dev_parity.png,266638,6f462c6cb5e723620ab4f90872d74c24e64edd03527b0fd6a34c42fbbeb39f8c
figures/FINAL-02_dev_parity.svg,4422708,8e9c5f827f4f7eb3835d42facf74e14997fc1f7abcc045276d9dfcfdecb9f868
figures/FINAL-03_test_parity.png,260547,df6e5e1864318dd512998e149aeebc7cd06d26fbd72019aab011cfb8b9267a5d
figures/FINAL-03_test_parity.svg,1049168,3643b152031735dc91d67a90d84e07eea766457a726ce99a1adf60649d36783c
figures/FINAL-04_test_residual_vs_predicted.png,198961,03715abd042a7e5191549169f047724795633926650f62b4a1bbe469807170a6
figures/FINAL-04_test_residual_vs_predicted.svg,1068256,50e231f8fa22ce9eda855f20f88804cb2e409262315180a2beba1aed650b090b
figures/FINAL-05_test_residual_distribution.png,45329,d7dba9bd5afc47359e9c4749d650c3e5133c5dad9481c274836aa057bfc1be1a
figures/FINAL-05_test_residual_distribution.svg,42107,2f6c86e72bb88d0563a7b5ee78b5649b4556e202399d22790e7bdd04c73cd6b6
figures/FINAL-06_physical_gradient_distribution.png,55136,6e69af129ca8279d2b662a1f74041183e94231c3eac22fcecf38825b4c92100f
figures/FINAL-06_physical_gradient_distribution.svg,51707,852068ce8fc604a32911fe734d87661f7fd8e70b37b0df45c395c9d7a4fa381d
figures/FINAL-07_physical_PDP_CDP.png,80005,22d4250e409043ac19c0c8ddafc131168c79d52aac515c6a1af68a67c3ee91ac
figures/FINAL-07_physical_PDP_CDP.svg,38551,d6f3ff380227d64ee8735aeae47e6a4680d1e57c9a03e5644a6dca8f42cff62c
figures/FINAL-08_computational_profile.png,161122,3b55d2f6123a56fe61a8df42175db9b3eea6d5ab1a966408969eb83eed1e6b59
figures/FINAL-08_computational_profile.svg,81897,44bade79ad6973ca3fdf9094648c965dcfd389009ff7bfec25390d1d54aaa268
figures/FINAL-09_combined_parity_dev_test.png,323390,b72deaa4b87c52cbe0421e091788606856d5ec5a210e75988a2ae784d3d50f36
figures/FINAL-09_combined_parity_dev_test.svg,5511312,f4562ea98493edcd625ab6e5b54e5659e7d90026fa0acbc0dd851eb8251a8209
figures/FINAL-10_dev_operational_series.png,322077,37a17a1e8e579a630a65f5ed12aa70580ac47c063ac6c04891bf2bbabacc19b7
figures/FINAL-10_dev_operational_series.svg,53593,33f4b52592468bb93144da68d25a87c7add17ab76e010f21a1f8f2a357bd59c2
figures/FINAL-11_test_operational_series.png,247507,932db04f8711b21ebf73dfa8e756665d37a86c2bec3d4e3362ca2a71a8d6feec
figures/FINAL-11_test_operational_series.svg,49255,c16c7a9d77de54a556b9d2cdc387515eda689b7dd1b8f70892f46448b7c0ddb3
figures/FINAL-12_test_residual_vs_CDP.png,264275,8c17024f7e93c1a9444e24e9b4f6b5dd7d14b128a53810d2af62ff0f51eac2d0
figures/FINAL-12_test_residual_vs_CDP.svg,1068285,db9a80a8bf52b43d92d6c0547dfa582610e4a1a0800b0b34fcf60fa179bb19ae
figures/FINAL-13_test_residual_diagnostics.png,215500,64841b8f1436d77b575c011534b26960fcc922f2f18dab8d04b2a0214ffc6629
figures/FINAL-13_test_residual_diagnostics.svg,1088427,1722abd9077b93888646104bd2da14d777866d5b5a199085b55316132722b9e9
figures/SUPPLEMENTAL-01_dense_vs_tt_parity_CO_TT_R1F_STD.png,242577,b98b604f91a663dc7602bab4a0df520289c3bd925bbb7d5d7db3791ab29a77d2
figures/SUPPLEMENTAL-01_dense_vs_tt_parity_CO_TT_R1F_STD.svg,140330,d5d0b2136ec39f654387dd81aef1d8aaa19eac7f6862bbf9b2a06d434e489014
figures/SUPPLEMENTAL-02_paired_absolute_error_CO_TT_R1F_STD.png,127875,faa6bfd1659a70f7a5b552b9d3526500cb106e1d921d36bebb56ce5f49cffd26
figures/SUPPLEMENTAL-02_paired_absolute_error_CO_TT_R1F_STD.svg,81454,6cae962af35a9395d09780a4304a895a2f0550ed3c49884f0bbc920551651509
