path,bytes,sha256
audit/ENVIRONMENT_NOX_INTERP_FINAL_R6F_STD.json,515,cb03bcfff4f1166bb76e7072075b6d200d42dc97c0dc061b02b812d526183485
audit/EVALUATION_DECISION_AUDIT_NOX_R6F_STD.json,1577,2b8014b4b2b6f0fcdf95c3de11e7a812998f089084b803c3c0139ddce7d1442c
audit/HANDOFF_HASH_CHECK_NOX_R6F_STD.csv,9091,39345fea0f644e0886e6be1fec4a3c518380a1c356106dd225ed60233ee67df4
audit/MODEL_RELOAD_EQUIVALENCE_NOX_R6F_STD.json,256,958e5c026fc966159622137df862e2265e9bf55f6eb11c94bb40aef365543252
audit/PRE_POST_TEST_HASH_AUDIT_NOX_R6F_STD.json,1017,9bce458b51fa38913b80931411580e284e4f6b8b806c1ad3b896550e2bf1132b
audit/PRE_TEST_GATE_NOX_R6F_STD.json,1386,7888ff8b486c428f2d9c869b6629f434c2084ddf0fc1e6aa737a33bf58af4e6a
audit/PRETRAINING_CHECKS_NOX_R6F_STD.csv,440,168d5a10fa8dedc4084b9d106697b19ed877a1e7621a07686b0c5d4387790be5
audit/TARGET_ACCESS_AUDIT_PRE_TEST_NOX_R6F_STD.json,2226,5be319a82ba143989a97f6ceb40bea26f71d2aa3bf6c964838f4d9119cd79ac1
audit/TEST_ACCESS_AUDIT_NOX_R6F_STD.json,1913,6459e1fb8ab4a153f3b9c6220562b1c7f566e5cde526858215508e7a3aff27be
audit/UPSTREAM_INPUT_CONTRACT_NOX_R6F_STD.json,625,7a1d67f86f57382acff83251eb62a738a8e01ca85026aee98f531f9e6406cae7
audit/VISUAL_STYLE_UPDATE_NOX_R6F_STD.json,4094,0192cd5b9098ba96c6c46ef7b5d326e848f19a647adf83c9cd136d26300896a3
configs/BEST_CONFIG_NOX_INTERP_R6.json,3152,316b5f89c38693bd28de49339bc3b67aaa1cf2ad644158f069650961908c2600
configs/CAMPAIGN_POLICY_NOX_INTERP_R6.json,3320,d6c57c372241aa6ef453a5cc3688334f54c0bf1b74c716815ac7b067d08590c6
configs/FINAL_REPRESENTATIVE_SEED_NOX_R6.json,443,8d57ad061a91546a76117fa2145d4b29225fdecfca63c73375e973866bd5b2ad
configs/FINAL_TRAINING_POLICY_NOX_INTERP_R6.json,3773,e5acd4961064bbf12226dbefadf0a7e1335f0b773c1530e568d1bc78943e397a
configs/FROZEN_CONFIG_MANIFEST_NOX_INTERP_R6.json,10326,b943c12d4ae7c2d949f6ad03b0e73d9b11f2df857458a1c856314d87cfcf4752
configs/MODEL_PROFILE_NOX_PINN_INTERP_R6.json,1218,c4853b98f3509fc21ad1c156e3a54d5e677a22c10e85cd95ba4c4b21f28989ab
configs/SEARCH_SPACE_SIGNATURE_NOX_R6.json,4308,77e83c43646e0fe8a668b0086164a2c316d1c4e6f06740f4d194986b134359af
figures/FINAL-01_training_history.png,70419,12f8f958389520fb533eacac42ca3bc4db687d4746448d45463da3a404dda2d5
figures/FINAL-01_training_history.svg,45837,85a5fa7e42544db48a21aad861d8bb835bdcfcbf31b45a63e6b3603f7f1d6fea
figures/FINAL-02_dev_parity.png,393762,2f817079b8492e25861ce03a4dac503658228751e42e95e43a241d1c36b4154b
figures/FINAL-02_dev_parity.svg,4448664,43df660995f24bd1fc15caf95bebe5e81e4593d8299deaba06a13b759c25c4ff
figures/FINAL-03_test_parity.png,264175,f3742a1392819c4498d49884766084136de9df7a22191db2d99d5c03c643b9b8
figures/FINAL-03_test_parity.svg,1055286,ca9415b0374c0f4903f9640e62ab24626f4ceb488a35a416aceb40695107e08a
figures/FINAL-04_test_residual_vs_predicted.png,194276,cc311c97ecbf4d7e988493f86ddcffb57a4d5ee6d627a830b5b4b8f65c9c03a8
figures/FINAL-04_test_residual_vs_predicted.svg,1071855,a1c1916bff3e68d74017b05a6e91060492ded247f7e0781edc07844fce82f685
figures/FINAL-05_test_residual_distribution.png,36522,60c1b55c91fb590f3fec004293b430449c4261d462bec3484090813032a70cda
figures/FINAL-05_test_residual_distribution.svg,44857,2d6dc02318feec3fd1d43a59331ee73d3717e66102165ae19d4662c36b2b9585
figures/FINAL-06_physical_gradient_distribution.png,37305,effa32a6d168d8d3c7291b59b8097980a18b11dc9897976e55d0721e27d35390
figures/FINAL-06_physical_gradient_distribution.svg,48790,cc5fee329ce3424ad3313906116fbcf1be1abf51662e7753f52d0385f24e721a
figures/FINAL-07_physical_PDP_TIT.png,72617,90121961d09a56c5f76b712dea82bf4f41f4edf115f0ac0fef986caa8267652a
figures/FINAL-07_physical_PDP_TIT.svg,58197,b169e5c99744ef1a7df893b17361cd9cb2f4f8639b6742ed10c65c37ce85125e
figures/FINAL-08_computational_profile.png,43973,3b915e6c36456da54170c845532e46ee44bd77f8f7fea3af15f9ed52a61585d6
figures/FINAL-08_computational_profile.svg,31844,faf5a8d3ff35557bfbdde42f2801bd93ba4a1ec0c4eb94ca7abdf3e56c352f2e
figures/FINAL-09_combined_parity_dev_test.png,490358,4e8c02ec13d543e9c4f3196c6d6095ba6b9f16c1d95b8eea9aec9ed19eb39f52
figures/FINAL-09_combined_parity_dev_test.svg,5542240,4765159437f4722789438b7f9a1f0ba5668cbcaf522df1317e91184b92eaf1f3
figures/FINAL-10_dev_operational_series.png,273463,6e03dbf2890e262f7ba5ec03f31062086cabd065a0488ffc60dacaf3202ed0ba
figures/FINAL-10_dev_operational_series.svg,50606,66d08b52a769cb85e1fd6402e30fff0df73bdb2228047a0b3c8bd36acb8ece9e
figures/FINAL-11_test_operational_series.png,242475,8c21aa7b1c0370bb16ac653bcec3d24044679cd3949326a33b66def2e7683232
figures/FINAL-11_test_operational_series.svg,52341,a7ca5a18af7a451e0143e6fb08421c36891c2eaeb5336dca35e65c8583d594d4
figures/FINAL-12_test_residual_vs_CDP.png,246735,3ef8a129dc5f5769b921dd7bf6855c617ffe617208cc5eb6d770658e885edbb3
figures/FINAL-12_test_residual_vs_CDP.svg,1068900,0cbb9953ae0287fc0b1ef84835fb386fbb7c831ffdd77a71288e023391ad73f8
figures/FINAL-13_test_residual_diagnostics.png,206165,04e6b5b576e9ac7eb14336c4c031d67a70510c77620352a259de6ae15347141f
figures/FINAL-13_test_residual_diagnostics.svg,1095250,f5dac82a2dfb94df82fc4ec64477112b13c2a8da8359e6c0d87312194c5e5f96
logs/final_run_20260827_012647.stderr.log,668,6325f3cfd8aa895d5aaa54e886a1a2842322b4dddb3281f3c9cc1122bd042abf
logs/final_run_20260827_012647.stdout.log,2699,576d4327bec199cd5ed02eeb716ccf373176cd5bffc38e7ef58c08c37a043aad
model/final_model_seed_84.pt,286885,aae35b5c02a41a28537bfd945aa660ba3ba8c7a9fa0647b2881ebac184e91e47
reports/FINAL_TECHNICAL_REPORT_NOX_R6F_STD.md,760,0be7d9c29099f5a17f63d30e719626ca7c4b07c44569626941e57da53425a3a6
tables/DEV_PREDICTIONS_NOX_R6F_STD.csv,2066781,e436d9040f73a4a74155b7d0d97674254f50f5a551fc7f97568ae7b990d1d2ee
tables/FINAL_METRICS_NOX_R6F_STD.csv,591,ab24ab882627a9bba14fbc3fbb44fc0ff568570a66710867ef761d810f687702
tables/FINAL_TRAINING_SUMMARY_NOX_R6F_STD.csv,385,83fb57d838e4c70f59d7df29f3f6c37d0b9faa48fdf883557791b10ddbcbd84b
tables/PHYSICAL_PDP_TIT_NOX_R6F_STD.csv,8651,7558b19a2ba6dbde70fa981cc1a97922b4a26c1a88e77240a31e6a679e2cd874
